"        Cable companies cracking down on Wi-Fi                                    Search                                                News.com                All CNET                The Web                            Live tech help NOW!April's tech award1 million open jobsNews.com: Top CIOs ZDNet: PeopleSoftJuly 9, 2002 Cable companies cracking down on Wi-Fi Apple's iPod comes to Linux Talk of Dell printer move heats up Microsoft eyes Visa users with Passport Judge OKs suit against Kazaa parent China wakes to new destinyVision SeriesRead News.com's exclusive interviews of 10 top CIOs, including IBM's Phil Thompson.Vision Series home                                                                                                                                                                Cable companies cracking down on Wi-FiBroadband providers are cracking down on popular Wi-Fi networks, threatening to cut service to customers who set up the inexpensive wireless systems and allow o",not spam
"thers to freely tap into their Internet access.Time Warner Cable of New York City has given 10 customers less than a week to stop using their accounts to provide a wireless local area network available to anyone within 300 feet. The letters are just an initial volley; Time Warner expects to send additional letters, while AT Broadband also is preparing similar letters for some of its customers.July 9, 2002, 4:00 AM PT | Read Full Story Apple's iPod comes to LinuxWindows users have recently been given access to the popular Macintosh music player, iPod, and now Linux users may soon be able to take a bite out of Apple Computer's gadget. Last week, tex9, a small software-development company in San Francisco, began beta testing an iPod plug-in for its xtunes music player software, which is itself a Linux clone of Apple's iTunes. The plug-in will, tex9 promises, allow drag-and-drop access to iPod, which holds up to 10GB of music.July 9, 2002, 12:00 PM PT | Read Full Story Talk of Dell printer",not spam
" move heats upDell Computer appears to be moving toward selling its own printers.A pair of analyst reports issued Tuesday added to a torrent of recent speculation that the Round Rock, Texas-based PC maker's next move will be into the printer market. Dell has plunged into a number of new markets over the past few years.July 9, 2002, 12:30 PM PT | Read Full Story Microsoft eyes Visa users with PassportMicrosoft hopes to extend its Passport online identification system into authorizing credit card payments.The software giant will strike a partnership Tuesday with security-software maker Arcot Systems, which builds online payment systems for merchants and for banks that issue Visa and MasterCard credit cards. Arcot makes the systems behind Visa's own Verified by Visa program as well as a similar program in development at MasterCard.July 8, 2002, 9:00 PM PT | Read Full Story Judge OKs suit against Kazaa parentA federal judge said Monday that record labels and film studios could expand an on",not spam
"going copyright lawsuit to include Sharman Networks, which distributes the popular Kazaa software.The Recording Industry Association of America (RIAA) and the Motion Picture Association of America (MPAA) sued three prominent file-swapping companies in October in Los Angeles federal court. The suit named Morpheus parent StreamCast Networks, Grokster and Kazaa BV, the Netherlands-based company that originally created the Kazaa software.July 9, 2002, 12:55 PM PT | Read Full Story China wakes to new destinyGlobal slump prompts tech titans to tap the sleeping giant's manufacturing prowess and consumer market.July 9, 2002, 4:00 AM PT | Read Full Story From our partners:Another big charge for AOL?Business WeekIt may again have billions of excess goodwill on its books, and a write-down won't go over well with already unhappy investors.July 9, 2002 | Read Full Story Business needs to take the blinders offBusiness WeekToday's corporate apologists are too much like the Marxists who reflexively de",not spam
"fended Communism's old poster boy -- Stalin.July 9, 2002 | Read Full Story Also from CNET:Real-time stock quotes from CNET News.com Investor.30-day free trial!                                                        Digicams for summer shutterbugsGoing on vacation, or just headed to the beach? Indulge your summer snapshot habit with one of our picks. 5-megapixel shoot-out Leica Digilux 1: street shooter""s digicamMost popular productsDigital cameras1. Canon PowerShot G22. Canon PowerShot S403. Canon PowerShot S304. Canon PowerShot A405. Nikon Coolpix 995 See all most popular cameras                                                                                                                                                                                                                                                                                                                                                Netscape 7: How does it stack up?CNET Download.com's Rex Baldazo previews Net",not spam
"scape 7, a new open-source version of the browser that the company hopes will chip away at Microsoft's leading position with Internet Explorer.                         Watch Video                                                                                                                                                                                                                                                                                                                                                                        Enterprise                        Shares in chip gear fall on new fears                        Dell douses Lexmark speculation                        Microsoft tests dressed up Web software                                                                                                                        E-Business                        Stocks edge lower after Bush speech                        Bush talks tough on corporate fraud",not spam
"                                                                                                                                                  The e-mail address for your subscription isqqqqqqqqqq-cnet-newsletters@spamassassin.taint.orgUnsubscribe|Manage My Subscriptions|FAQ|AdvertisePlease send any questions, comments, or concerns todispatchfeedback@news.com.Price comparisons |Product reviews |Tech news |Downloads |All CNET services        Copyright 2002 CNET Networks, Inc. All rights reserved.",not spam
"--------------------------------------------------------------------------What is MIME?MIME stands for ""Multipurpose Internet Mail Extensions"".  It is thestandard for how to send multipart, multimedia, and binary data using theworld-wide Internet email system.  Typical uses of MIME include sendingimages, audio, wordprocessing documents, programs, or even plain textfiles when it is important that the mail system does not modify any partof the file.  MIME also allows for labelling message parts so that arecipient (or mail program) may determine what to do with them. How can I read a MIME message?Since MIME is only a few years old, there are still some mailers in usewhich do not understand MIME messages.  However, there are a growingnumber of mail programs that have MIME support built-in.  (One popularMIME-capable mailer for Unix, VMS and PCs is Pine, developed at theUniversity of Washington and available via anonymous FTP from the hostftp.cac.washington.edu in the file /pine/pine.tar.Z)I",not spam
"n addition, several proprietary email systems provide MIME translationcapability in their Internet gateway products.  However, even if you donot have access to a MIME-capable mailer or suitable gateway, there isstill hope! There are a number of stand-alone programs that can interpret a MIMEmessage.  One of the more versatile is called ""munpack"".  It was developedat Carnegie Mellon University and is available via anonymous FTP from thehost ftp.andrew.cmu.edu in the directory pub/mpack/.  There are versionsavailable for Unix, PC, Mac and Amiga systems.  For compabibility witholder forms of transferring binary files, the munpack program can alsodecode messages in split-uuencoded format. Does MIME replace UUENCODE?Yes.  UUENCODE has been used for some time for encoding binary files sothat they can be sent via Internet mail, but it has several technicallimitations and interoperability problems.  MIME uses a more robustencoding called ""Base64"" which has been carefully designed to survive the",not spam
"message transformations made by certain email gateways. How can I learn more about MIME?The MIME Internet standard is described in RFC-1521, available viaanonymous FTP from many different Internet hosts, including:                                                             o  US East Coast                                    Address:  ds.internic.net (198.49.45.10)                                                                     o  US West Coast                                    Address:  ftp.isi.edu (128.9.0.32)                                                                   o  Pacific Rim                                      Address:  munnari.oz.au (128.250.1.21)                                                               o  Europe                                           Address:  nic.nordu.net (192.36.148.17) Look for the file /rfc/rfc1521.txtAnother source of information is the Internet news group ""comp.mail.mime"",which includes a periodic posting of a ""Frequently Asked Q",not spam
